Date,Months_Since_Halving,Open,High,Low,Close,Fechamento,Volume,VIX,
01/05/2024,1,"60 609,50","60 780,50","56 555,29","59 123,43",Queda,81 151 593 830,"14,52",
01/04/2024,0,"71 333,48","72 715,36","59 120,07","60 636,86",Queda,1 016 068 331 704,"16,14",4º Halving
01/03/2024,47,"61 168,06","73 750,07","59 323,91","71 333,65",Alta,1 446 417 844 950,"13,79",
01/02/2024,46,"42 569,76","63 913,13","41 879,19","61 198,38",Alta,830 721 862 621,"13,98",
01/01/2024,45,"42 280,23","48 969,37","38 521,89","42 582,61",Alta,825 918 941 347,"13,39",ETF BTC
01/12/2023,44,"37 718,01","44 705,52","37 629,36","42 265,19",Alta,721 704 910 480,"12,72",
01/11/2023,43,"34 657,27","38 415,34","34 133,44","37 712,75",Alta,570 863 267 380,"14,02",
01/10/2023,42,"26 967,40","35 150,43","26 558,32","34 667,78",Alta,476 425 634 860,"18,89",
01/09/2023,41,"25 934,02","27 488,76","24 930,30","26 967,92",Alta,337 637 313 742,"15,17",
01/08/2023,40,"29 230,87","30 176,80","25 409,11","25 931,47",Queda,437 724 169 499,"15,85",
01/07/2023,39,"30 471,85","31 814,52","28 934,29","29 230,11",Queda,382 224 489 090,"13,93",
01/06/2023,38,"27 218,41","31 389,54","24 797,17","30 477,25",Alta,481 734 214 225,"14,00",
01/05/2023,37,"29 227,10","29 820,13","25 878,43","27 219,66",Queda,443 473 015 479,"17,64",
01/04/2023,36,"28 473,33","31 005,61","27 070,85","29 268,81",Alta,511 540 319 004,"17,82",
01/03/2023,35,"23 150,93","29 159,90","19 628,25","28 478,48",Alta,883 299 703 608,"21,64",
01/02/2023,34,"23 137,84","25 134,12","21 460,09","23 147,35",Alta,723 968 574 897,"20,12",
01/01/2023,33,"16 547,91","23 919,89","16 521,23","23 139,28",Alta,690 994 018 045,"20,17",
01/12/2022,32,"17 168,00","18 318,53","16 398,14","16 547,50",Queda,541 356 716 034,"21,78",
01/11/2022,31,"20 494,90","21 446,89","15 599,05","17 168,57",Queda,1 224 531 549 126,"23,30",
01/10/2022,30,"19 431,11","20 988,39","18 319,82","20 495,77",Alta,957 903 424 925,"30,01",
01/09/2022,29,"20 050,50","22 673,82","18 290,31","19 431,79",Queda,1 123 272 250 385,"27,34",
01/08/2022,28,"23 336,72","25 135,59","19 600,79","20 049,76",Queda,894 192 654 543,"22,17",
01/07/2022,27,"19 820,47","24 572,58","18 966,95","23 336,90",Alta,927 582 363 389,"25,00",
01/06/2022,26,"31 792,55","31 957,29","17 708,62","19 784,73",Queda,923 939 211 678,"28,23",
01/05/2022,25,"37 713,27","39 902,95","26 350,49","31 792,31",Queda,1 105 689 315 990,"29,31",
01/04/2022,24,"45 554,16","47 313,48","37 697,94","37 714,88",Queda,830 115 888 649,"24,37",
01/03/2022,23,"43 194,50","48 086,84","37 260,20","45 538,68",Alta,830 943 838 435,"26,97",
01/02/2022,22,"38 481,77","45 661,17","34 459,22","43 193,23",Alta,671 335 993 325,"25,75",
01/01/2022,21,"46 311,75","47 881,41","33 184,06","38 483,13",Queda,923 979 037 681,"23,18",
01/12/2021,20,"56 907,96","59 041,68","42 874,62","46 306,45",Queda,957 047 184 722,"21,35",
01/11/2021,19,"61 320,45","68 789,63","53 569,77","57 005,43",Queda,1 053 270 271 383,"18,50",
01/10/2021,18,"43 816,74","66 930,39","43 320,02","61 318,96",Alta,1 153 077 903 534,"17,87",
01/09/2021,17,"47 099,77","52 853,77","39 787,61","43 790,89",Queda,1 102 139 678 824,"19,82",
01/08/2021,16,"41 460,84","50 482,08","37 458,00","47 166,69",Alta,1 014 674 184 428,"17,47",
01/07/2021,15,"35 035,98","42 235,55","29 360,96","41 626,20",Alta,819 103 381 204,"17,60",
01/06/2021,14,"37 293,79","41 295,27","28 893,62","35 040,84",Queda,1 189 647 451 707,"16,96",
01/05/2021,13,"57 714,66","59 519,36","30 681,50","37 332,86",Queda,1 976 593 438 572,"19,76",
01/04/2021,12,"58 926,56","64 863,10","47 159,48","57 750,18",Queda,1 844 481 772 417,"17,42",
01/03/2021,11,"45 159,50","61 683,86","45 115,09","58 918,83",Alta,1 681 184 264 687,"21,84",
01/02/2021,10,"33 114,58","58 330,57","32 384,23","45 137,77",Alta,2 267 152 936 675,"23,14",
01/01/2021,9,"28 994,01","41 946,74","28 722,76","33 114,36",Alta,2 153 473 433 571,"24,91",
01/12/2020,8,"19 633,77","29 244,88","17 619,53","29 001,72",Alta,1 212 259 707 946,"22,37",
01/11/2020,7,"13 781,00","19 749,26","13 243,16","19 625,84",Alta,1 093 144 913 227,"25,00",
01/10/2020,6,"10 795,25","14 028,21","10 416,69","13 781,00",Alta,1 050 874 546 086,"29,44",
01/09/2020,5,"11 679,32","12 067,08","9 916,49","10 784,49",Queda,1 075 949 438 431,"27,65",
01/08/2020,4,"11 322,57","12 359,06","11 012,42","11 680,82",Alta,708 377 092 130,"22,89",
01/07/2020,3,"9 145,99","11 415,86","8 977,02","11 323,47",Alta,545 813 339 109,"26,84",
01/06/2020,2,"9 463,61","10 199,57","8 975,53","9 137,99",Queda,650 913 318 680,"31,12",
01/05/2020,1,"8 672,78","9 996,74","8 374,32","9 461,06",Alta,1 286 368 141 507,"30,90",
01/04/2020,0,"6 437,32","9 440,65","6 202,37","8 658,55",Alta,1 156 127 164 831,"41,45",3º Halving
01/03/2020,44,"8 599,76","9 167,70","4 106,98","6 438,64",Queda,1 290 442 059 648,"57,74",
01/02/2020,43,"9 346,36","10 457,63","8 492,93","8 599,51",Queda,1 163 376 492 768,"19,63",
01/01/2020,42,"7 194,89","9 553,13","6 915,00","9 350,53",Alta,852 872 174 496,"13,94",
